Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Zephanja ARZT,240,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year IV 2023,1
Zephanja ARZT,240,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year IV 2023,2
Zephanja ARZT,240,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year IV 2023,3
Zephanja ARZT,240,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year IV 2023,4
Zephanja ARZT,240,Kite,1.0,0,GERAL,1,,5.0,5.0,Rider of the Year IV 2023,5
Timo RIEMENSCHNEIDER,240,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year IV 2023,1
Timo RIEMENSCHNEIDER,240,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year IV 2023,2
Timo RIEMENSCHNEIDER,240,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year IV 2023,3
Timo RIEMENSCHNEIDER,240,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year IV 2023,4
Timo RIEMENSCHNEIDER,240,Kite,2.0,0,GERAL,2,,10.0,10.0,Rider of the Year IV 2023,5
Ralf SCHULT,240,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year IV 2023,1
Ralf SCHULT,240,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year IV 2023,2
Ralf SCHULT,240,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year IV 2023,3
Ralf SCHULT,240,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year IV 2023,4
Ralf SCHULT,240,Kite,3.0,0,GERAL,3,,15.0,15.0,Rider of the Year IV 2023,5
Jannes AHLERS,240,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year IV 2023,1
Jannes AHLERS,240,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year IV 2023,2
Jannes AHLERS,240,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year IV 2023,3
Jannes AHLERS,240,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year IV 2023,4
Jannes AHLERS,240,Kite,4.0,0,GERAL,4,,20.0,20.0,Rider of the Year IV 2023,5
Marvin GRANDT,240,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year IV 2023,1
Marvin GRANDT,240,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year IV 2023,2
Marvin GRANDT,240,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year IV 2023,3
Marvin GRANDT,240,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year IV 2023,4
Marvin GRANDT,240,Kite,5.0,0,GERAL,5,,25.0,25.0,Rider of the Year IV 2023,5
Lennart RADLOF,240,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year IV 2023,1
Lennart RADLOF,240,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year IV 2023,2
Lennart RADLOF,240,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year IV 2023,3
Lennart RADLOF,240,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year IV 2023,4
Lennart RADLOF,240,Kite,6.0,0,GERAL,6,,30.0,30.0,Rider of the Year IV 2023,5
Fabian HEINZE,240,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year IV 2023,1
Fabian HEINZE,240,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year IV 2023,2
Fabian HEINZE,240,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year IV 2023,3
Fabian HEINZE,240,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year IV 2023,4
Fabian HEINZE,240,Kite,7.0,0,GERAL,7,,35.0,35.0,Rider of the Year IV 2023,5
Pauline REHNERT,240,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year IV 2023,1
Pauline REHNERT,240,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year IV 2023,2
Pauline REHNERT,240,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year IV 2023,3
Pauline REHNERT,240,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year IV 2023,4
Pauline REHNERT,240,Kite,8.0,0,GERAL,8,,40.0,40.0,Rider of the Year IV 2023,5
Moritz von GAUDECKER,240,Kite,9.0,0,GERAL,9,,45.0,45.0,Rider of the Year IV 2023,1
