Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Morten Ben BORCHARDT,266,ilca 6,1.0,0,GERAL,1,,12.0,7.0,LYC Youth Cup 2023,1
Morten Ben BORCHARDT,266,ilca 6,5.0,1,GERAL,1,,12.0,7.0,LYC Youth Cup 2023,2
Morten Ben BORCHARDT,266,ilca 6,2.0,0,GERAL,1,,12.0,7.0,LYC Youth Cup 2023,3
Morten Ben BORCHARDT,266,ilca 6,3.0,0,GERAL,1,,12.0,7.0,LYC Youth Cup 2023,4
Morten Ben BORCHARDT,266,ilca 6,1.0,0,GERAL,1,,12.0,7.0,LYC Youth Cup 2023,5
Tom STRUVE,266,ilca 6,7.0,0,GERAL,2,,24.0,16.0,LYC Youth Cup 2023,1
Tom STRUVE,266,ilca 6,1.0,0,GERAL,2,,24.0,16.0,LYC Youth Cup 2023,2
Tom STRUVE,266,ilca 6,8.0,1,GERAL,2,,24.0,16.0,LYC Youth Cup 2023,3
Tom STRUVE,266,ilca 6,4.0,0,GERAL,2,,24.0,16.0,LYC Youth Cup 2023,4
Tom STRUVE,266,ilca 6,4.0,0,GERAL,2,,24.0,16.0,LYC Youth Cup 2023,5
Maximilian RÜDEBUSCH,266,ilca 6,4.0,0,GERAL,3,,24.0,16.0,LYC Youth Cup 2023,1
Maximilian RÜDEBUSCH,266,ilca 6,7.0,0,GERAL,3,,24.0,16.0,LYC Youth Cup 2023,2
Maximilian RÜDEBUSCH,266,ilca 6,4.0,0,GERAL,3,,24.0,16.0,LYC Youth Cup 2023,3
Maximilian RÜDEBUSCH,266,ilca 6,1.0,0,GERAL,3,,24.0,16.0,LYC Youth Cup 2023,4
Maximilian RÜDEBUSCH,266,ilca 6,8.0,1,GERAL,3,,24.0,16.0,LYC Youth Cup 2023,5
Justus Friedrich LOECK,266,ilca 6,5.0,0,GERAL,4,,23.0,16.0,LYC Youth Cup 2023,1
Justus Friedrich LOECK,266,ilca 6,4.0,0,GERAL,4,,23.0,16.0,LYC Youth Cup 2023,2
Justus Friedrich LOECK,266,ilca 6,7.0,1,GERAL,4,,23.0,16.0,LYC Youth Cup 2023,3
Justus Friedrich LOECK,266,ilca 6,5.0,0,GERAL,4,,23.0,16.0,LYC Youth Cup 2023,4
Justus Friedrich LOECK,266,ilca 6,2.0,0,GERAL,4,,23.0,16.0,LYC Youth Cup 2023,5
Pauline BASTIAN,266,ilca 6,11.0,1,GERAL,5,DSQ,30.0,19.0,LYC Youth Cup 2023,1
Pauline BASTIAN,266,ilca 6,9.0,0,GERAL,5,,30.0,19.0,LYC Youth Cup 2023,2
Pauline BASTIAN,266,ilca 6,1.0,0,GERAL,5,,30.0,19.0,LYC Youth Cup 2023,3
