Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"THAMSOONTORN, KHEMKAEW",,470,18.0,G,49,,210.0,181.0,World Championship 2023,Race 9 Silver,0
,,"GIANNOULIS, GIANNOULI",,470,32.0,G,58,,258.0,226.0,World Championship 2023,Race 9 Silver,1
,,"JERWOOD, NICHOLAS",,470,10.0,G,36,,135.0,102.0,World Championship 2023,Race 9 Silver,0
,,"SPANAKI, SPANAKIS",,470,2.0,G,48,,211.0,178.0,World Championship 2023,Race 9 Silver,0
,,"BRISTOW, TAYLOR",,470,5.0,G,38,,137.0,116.0,World Championship 2023,Race 9 Silver,0
,,"RENNIE-YOUNGER, McGLASHAN",,470,15.0,G,60,,262.0,229.0,World Championship 2023,Race 9 Silver,0
,,"KONGARA, SHEKHAR",,470,12.0,G,56,,249.0,216.0,World Championship 2023,Race 9 Silver,0
,,"VERMA, SHARMA",,470,23.0,G,52,,218.0,190.0,World Championship 2023,Race 9 Silver,0
,,"JACOBSEN, FORSLUND",,470,17.0,G,59,,262.0,229.0,World Championship 2023,Race 9 Silver,0
,,"SCOTT, HUME",,470,32.0,G,53,,224.0,192.0,World Championship 2023,Race 9 Silver,1
,,"PASZEK, LASKOWSKA",,470,19.0,G,54,,223.0,195.0,World Championship 2023,Race 9 Silver,0
,,"SAMARZIJA, SCHEIDL",,470,25.0,G,62,,285.0,252.0,World Championship 2023,Race 9 Silver,0
,,"KORSAK, BORYS",,470,27.0,G,47,,203.0,173.0,World Championship 2023,Race 9 Silver,0
,,"JACKSON, HIGGINS",,470,20.0,G,50,,216.0,185.0,World Championship 2023,Race 9 Silver,0
,,"GAGO, PIRES",,470,4.0,G,34,,111.0,86.0,World Championship 2023,Race 9 Silver,0
,,"RUIZ PONCE, GIL ROIG",,470,16.0,G,51,,219.0,187.0,World Championship 2023,Race 9 Silver,0
,,"PHELAN, BASTIAN",,470,32.0,G,63,,290.0,257.0,World Championship 2023,Race 9 Silver,0
,,"WORNALL, STREET",,470,22.0,G,57,,257.0,225.0,World Championship 2023,Race 9 Silver,0
,,"KAMAN SHAH, NOOR JAMALI",,470,26.0,G,43,,178.0,149.0,World Championship 2023,Race 9 Silver,0
,,"PENNANEAC'H, WILLIOT",,470,6.0,G,42,,174.0,142.0,World Championship 2023,Race 9 Silver,0
,,"FAHRNI, SCHUPBACH",,470,3.0,G,40,,163.0,138.0,World Championship 2023,Race 9 Silver,0
,,"ZEGERS, van VUGT",,470,1.0,G,35,,116.0,87.0,World Championship 2023,Race 9 Silver,0
,,"PETRAITYTE, JURGELIONIS",,470,32.0,G,64,,338.0,305.0,World Championship 2023,Race 9 Silver,0
,,"PAWLOWSKA, SZLIJA",,470,21.0,G,46,,193.0,160.0,World Championship 2023,Race 9 Silver,0
,,"PAPPA, MICHALOPOULOS",,470,13.0,G,39,,158.0,134.0,World Championship 2023,Race 9 Silver,0
,,"DONNER, HABERL",,470,11.0,G,45,,179.0,151.0,World Championship 2023,Race 9 Silver,0
,,"di SALLE, BELLICO",,470,9.0,G,41,,173.0,141.0,World Championship 2023,Race 9 Silver,0
,,"DIAS FERREIRA DUQUE, MARTINS",,470,7.0,G,44,,183.0,151.0,World Championship 2023,Race 9 Silver,0
,,"FRAS, SKERLAVAJ",,470,24.0,G,61,,267.0,237.0,World Championship 2023,Race 9 Silver,0
